year,artist.inverted,track,time,genre,date.entered,date.peaked,x1st.week,x2nd.week,x3rd.week,x4th.week,x5th.week,x6th.week,x7th.week,x8th.week,x9th.week,x10th.week,x11th.week,x12th.week,x13th.week,x14th.week,x15th.week,x16th.week,x17th.week,x18th.week,x19th.week,x20th.week,x21st.week,x22nd.week,x23rd.week,x24th.week,x25th.week,x26th.week,x27th.week,x28th.week,x29th.week,x30th.week,x31st.week,x32nd.week,x33rd.week,x34th.week,x35th.week,x36th.week,x37th.week,x38th.week,x39th.week,x40th.week,x41st.week,x42nd.week,x43rd.week,x44th.week,x45th.week,x46th.week,x47th.week,x48th.week,x49th.week,x50th.week,x51st.week,x52nd.week,x53rd.week,x54th.week,x55th.week,x56th.week,x57th.week,x58th.week,x59th.week,x60th.week,x61st.week,x62nd.week,x63rd.week,x64th.week,x65th.week,x66th.week,x67th.week,x68th.week,x69th.week,x70th.week,x71st.week,x72nd.week,x73rd.week,x74th.week,x75th.week,x76th.week
2000.0,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,82.0,70.0,51.0,39.0,26.0,19.0,15.0,9.0,7.0,7.0,5.0,4.0,1.0,1.0,3.0,4.0,6.0,10.0,13.0,15.0,18.0,23.0,28.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,71.0,51.0,28.0,18.0,13.0,13.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,12.0,11.0,13.0,15.0,18.0,20.0,30.0,40.0,39.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,70.0,61.0,53.0,46.0,40.0,33.0,31.0,26.0,22.0,19.0,17.0,15.0,13.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,8.0,3.0,3.0,6.0,6.0,1.0,2.0,3.0,4.0,7.0,9.0,10.0,18.0,20.0,27.0,29.0,36.0,40.0,50.0,47.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,84.0,78.0,76.0,74.0,70.0,68.0,74.0,75.0,69.0,74.0,70.0,79.0,84.0,86.0,76.0,62.0,45.0,29.0,19.0,11.0,10.0,7.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,12.0,13.0,13.0,17.0,22.0,26.0,28.0,37.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,59.0,53.0,38.0,28.0,21.0,18.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,13.0,14.0,16.0,23.0,22.0,33.0,36.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,60.0,37.0,29.0,24.0,22.0,21.0,18.0,16.0,13.0,12.0,8.0,6.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,9.0,12.0,13.0,19.0,20.0,20.0,24.0,29.0,28.0,27.0,30.0,33.0,37.0,38.0,38.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,82.0,68.0,50.0,50.0,41.0,37.0,26.0,22.0,22.0,2.0,1.0,2.0,4.0,13.0,21.0,28.0,43.0,57.0,82.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,81.0,68.0,62.0,51.0,42.0,35.0,28.0,28.0,28.0,43.0,30.0,23.0,23.0,21.0,21.0,21.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,8.0,11.0,13.0,14.0,18.0,22.0,23.0,22.0,24.0,30.0,31.0,31.0,38.0,39.0,42.0,49.0,49.0,48.0,47.0,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,72.0,57.0,52.0,47.0,42.0,31.0,24.0,18.0,17.0,17.0,17.0,10.0,9.0,9.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,19.0,24.0,23.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,99.0,92.0,81.0,59.0,47.0,42.0,32.0,27.0,18.0,18.0,11.0,8.0,5.0,2.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,11.0,10.0,19.0,23.0,28.0,38.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,63.0,55.0,48.0,39.0,35.0,24.0,3.0,2.0,2.0,4.0,4.0,5.0,11.0,12.0,16.0,15.0,14.0,14.0,12.0,10.0,11.0,13.0,13.0,13.0,15.0,16.0,14.0,13.0,17.0,19.0,23.0,29.0,37.0,33.0,34.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,77.0,54.0,50.0,43.0,30.0,27.0,21.0,18.0,15.0,13.0,13.0,13.0,13.0,5.0,2.0,2.0,5.0,7.0,9.0,12.0,12.0,16.0,20.0,20.0,22.0,25.0,26.0,29.0,35.0,33.0,40.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,98�,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,51.0,39.0,34.0,26.0,26.0,19.0,2.0,2.0,3.0,6.0,7.0,22.0,29.0,36.0,47.0,67.0,66.0,84.0,93.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,74.0,71.0,65.0,62.0,57.0,50.0,40.0,37.0,22.0,18.0,13.0,8.0,6.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,7.0,6.0,8.0,10.0,15.0,24.0,30.0,35.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,81.0,70.0,68.0,67.0,66.0,57.0,54.0,53.0,51.0,51.0,51.0,51.0,47.0,44.0,38.0,28.0,22.0,18.0,18.0,14.0,12.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,9.0,9.0,15.0,14.0,13.0,14.0,16.0,17.0,21.0,22.0,24.0,28.0,33.0,42.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,74.0,63.0,35.0,26.0,26.0,23.0,20.0,16.0,13.0,10.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,8.0,13.0,17.0,24.0,31.0,43.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,50.0,39.0,30.0,28.0,21.0,19.0,20.0,17.0,17.0,17.0,17.0,3.0,3.0,7.0,10.0,17.0,25.0,29.0,29.0,40.0,43.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,81.0,68.0,44.0,16.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,10.0,10.0,11.0,20.0,22.0,27.0,34.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,94.0,86.0,69.0,50.0,41.0,33.0,32.0,28.0,28.0,27.0,27.0,25.0,23.0,20.0,17.0,15.0,14.0,11.0,11.0,14.0,11.0,11.0,10.0,12.0,10.0,6.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,8.0,5.0,6.0,9.0,9.0,8.0,14.0,16.0,20.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,92.0,80.0,72.0,69.0,67.0,61.0,54.0,43.0,38.0,24.0,24.0,20.0,19.0,15.0,15.0,5.0,4.0,4.0,7.0,10.0,5.0,9.0,9.0,7.0,9.0,10.0,10.0,15.0,18.0,23.0,30.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,42.0,20.0,19.0,14.0,13.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,9.0,12.0,18.0,20.0,27.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,70.0,32.0,20.0,16.0,11.0,7.0,6.0,4.0,5.0,4.0,8.0,9.0,16.0,30.0,49.0,68.0,83.0,88.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,85.0,70.0,52.0,36.0,27.0,21.0,15.0,13.0,12.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,8.0,11.0,14.0,14.0,16.0,18.0,21.0,26.0,39.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,85.0,72.0,65.0,49.0,39.0,25.0,20.0,10.0,9.0,8.0,6.0,5.0,7.0,4.0,6.0,7.0,13.0,17.0,17.0,23.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,73.0,63.0,50.0,42.0,24.0,19.0,17.0,14.0,11.0,9.0,9.0,9.0,10.0,5.0,5.0,6.0,8.0,9.0,15.0,15.0,18.0,17.0,18.0,19.0,19.0,22.0,26.0,32.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,36.0,21.0,13.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,11.0,7.0,10.0,11.0,12.0,15.0,17.0,23.0,30.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,68.0,51.0,47.0,36.0,30.0,20.0,15.0,12.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,10.0,11.0,14.0,16.0,16.0,16.0,21.0,27.0,34.0,40.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,68.0,31.0,19.0,15.0,11.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,10.0,12.0,11.0,9.0,11.0,12.0,20.0,22.0,26.0,30.0,30.0,39.0,41.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,76.0,38.0,19.0,17.0,12.0,15.0,12.0,10.0,7.0,5.0,8.0,8.0,10.0,12.0,14.0,15.0,19.0,23.0,21.0,18.0,19.0,22.0,23.0,24.0,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,74.0,62.0,55.0,25.0,16.0,14.0,12.0,10.0,12.0,9.0,7.0,6.0,6.0,6.0,8.0,9.0,13.0,19.0,23.0,26.0,32.0,34.0,45.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,85.0,71.0,59.0,52.0,39.0,34.0,26.0,20.0,17.0,13.0,11.0,6.0,6.0,8.0,8.0,7.0,8.0,9.0,11.0,12.0,14.0,18.0,26.0,30.0,36.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,74.0,68.0,65.0,49.0,44.0,34.0,30.0,30.0,17.0,14.0,11.0,8.0,9.0,10.0,11.0,11.0,6.0,8.0,7.0,7.0,9.0,10.0,14.0,16.0,26.0,31.0,35.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,89.0,76.0,69.0,59.0,59.0,51.0,50.0,35.0,26.0,15.0,7.0,6.0,8.0,8.0,9.0,11.0,14.0,16.0,18.0,23.0,33.0,41.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,67.0,29.0,16.0,16.0,13.0,11.0,9.0,6.0,7.0,9.0,13.0,19.0,21.0,24.0,32.0,42.0,56.0,60.0,76.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,67.0,53.0,42.0,41.0,48.0,42.0,34.0,6.0,9.0,9.0,8.0,11.0,15.0,21.0,26.0,29.0,26.0,38.0,56.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,25.0,15.0,12.0,11.0,11.0,7.0,7.0,12.0,14.0,15.0,15.0,17.0,19.0,16.0,15.0,14.0,12.0,10.0,10.0,10.0,8.0,9.0,12.0,16.0,20.0,22.0,33.0,39.0,39.0,41.0,46.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,81.0,77.0,73.0,63.0,61.0,58.0,56.0,52.0,56.0,57.0,57.0,57.0,57.0,57.0,60.0,61.0,61.0,57.0,60.0,61.0,,,,,,,,,43.0,41.0,34.0,28.0,25.0,23.0,22.0,16.0,16.0,18.0,14.0,13.0,13.0,11.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,12.0,14.0,16.0,17.0,17.0,21.0,26.0,29.0,32.0,39.0,39.0,43.0,47.0,50.0,50.0,49.0,,,,,,,,,,,
2000.0,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,100.0,99.0,96.0,76.0,55.0,37.0,24.0,24.0,30.0,36.0,37.0,30.0,23.0,21.0,17.0,17.0,15.0,11.0,11.0,10.0,7.0,7.0,8.0,10.0,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,85.0,61.0,46.0,40.0,36.0,31.0,25.0,22.0,25.0,24.0,21.0,20.0,19.0,19.0,8.0,7.0,10.0,12.0,21.0,25.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,89.0,89.0,7.0,8.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,67.0,52.0,30.0,23.0,19.0,17.0,16.0,16.0,14.0,12.0,13.0,13.0,11.0,8.0,10.0,10.0,11.0,14.0,17.0,19.0,21.0,31.0,38.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,67.0,38.0,26.0,19.0,15.0,13.0,12.0,9.0,9.0,10.0,14.0,15.0,17.0,24.0,35.0,49.0,77.0,85.0,90.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,39.0,25.0,24.0,15.0,12.0,12.0,10.0,9.0,10.0,12.0,17.0,19.0,29.0,26.0,24.0,31.0,52.0,63.0,62.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,77.0,69.0,53.0,37.0,33.0,25.0,24.0,23.0,22.0,25.0,28.0,25.0,11.0,13.0,13.0,11.0,18.0,28.0,36.0,39.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,85.0,74.0,61.0,37.0,27.0,22.0,22.0,16.0,14.0,11.0,11.0,14.0,17.0,18.0,18.0,21.0,30.0,30.0,42.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,77.0,68.0,67.0,63.0,59.0,59.0,59.0,53.0,51.0,50.0,13.0,11.0,11.0,15.0,12.0,12.0,13.0,16.0,19.0,21.0,21.0,24.0,25.0,30.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,83.0,59.0,56.0,46.0,27.0,23.0,19.0,16.0,14.0,14.0,16.0,15.0,12.0,11.0,13.0,17.0,20.0,23.0,24.0,25.0,27.0,31.0,33.0,35.0,41.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,58.0,45.0,35.0,26.0,23.0,19.0,14.0,14.0,13.0,11.0,12.0,12.0,12.0,15.0,15.0,19.0,24.0,28.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,77.0,66.0,55.0,45.0,38.0,42.0,33.0,29.0,28.0,26.0,23.0,15.0,11.0,14.0,14.0,17.0,20.0,20.0,21.0,23.0,24.0,29.0,36.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,91.0,74.0,64.0,52.0,38.0,38.0,34.0,31.0,21.0,19.0,12.0,13.0,15.0,20.0,19.0,22.0,23.0,24.0,31.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,38.0,28.0,21.0,21.0,18.0,16.0,13.0,13.0,12.0,20.0,22.0,29.0,43.0,54.0,55.0,73.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,97.0,90.0,65.0,41.0,34.0,25.0,22.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,17.0,19.0,24.0,30.0,42.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,99.0,86.0,60.0,52.0,38.0,34.0,28.0,21.0,18.0,18.0,19.0,15.0,18.0,13.0,16.0,15.0,16.0,16.0,17.0,15.0,18.0,17.0,16.0,22.0,24.0,30.0,36.0,37.0,42.0,45.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.0,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,76.0,59.0,52.0,52.0,14.0,14.0,17.0,24.0,33.0,35.0,41.0,45.0,54.0,64.0,64.0,81.0,97.0,92.0,86.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
